sellerfeedbackscore,increment_residual,residual,bidcount,ispolice
6.654152520183219,0.14809088658688463,"[0.10642279644649932, -0.017184518037193064, -0.07698541172721252, -0.20979444640037953, -0.28812104553756074, -0.3508717242681485, -0.3930377890247436, -0.42715754100658315, -0.9588685035664972, -1.1540236499819843]",10,1.0
7.4999765409521215,0.5723640515189283,"[0.5235836777698297, 0.027392470156741733, -0.2366700941791998, -0.2742007325992617, -0.3984805760919536, -0.4194730510866494, -0.45656251651321195, -0.7886798842274001, -0.820892527929878, -0.9195269990637664]",10,1.0
8.155362120328135,0.36835694309263683,"[0.32310400324559657, -0.18613937498860852, -0.20594656138857423, -0.3211434972902361, -0.5005023900593185, -0.5144109097801017, -0.5240827593021715, -0.6948197952109907, -0.7528294207697153, -1.0139032083030717]",10,1.0
1.791759469228055,-0.022008863999269712,"[-0.061066998406628714, -0.07553835268362064, -0.13448871573797966, -0.18300493625073896, -0.2216701796178356, -0.2774201754876923, -0.31443611986962827, -0.5115548955072359, -0.5451360322896605, -0.8534770682895588]",10,1.0
4.795790545596741,0.31426538870788445,"[0.26991429075085127, -0.10774503785671624, -0.11064338673925767, -0.24631192282296502, -0.49215194237032583, -0.6018498966111345, -0.6089925092645708, -0.6151280104693467, -0.7137460908750459, -0.9340925835558711]",10,1.0
5.323009979138408,0.1638940294488775,"[0.12197646259808048, -0.009417035801408347, -0.19381397777284615, -0.27049425825073486, -0.45534838848851195, -0.5085052109605486, -0.5541155724574722, -0.5776203704091067, -1.012244858299014, -1.1747085644958193]",10,1.0
5.337538079701318,-0.023655829115215465,"[-0.06268936549403725, -0.1630094797932149, -0.28955904945871047, -0.3823398514884458, -0.41578162062614926, -0.4491669000894129, -0.636891171210852, -0.7061284120250062, -0.893121926400611, -1.2235799934511715]",10,1.0
7.480992162869525,0.09922354801391658,"[0.05831936624717132, -0.04706923649474948, -0.21097578596157984, -0.27401674272524956, -0.39193283468683154, -0.5610693851543855, -0.6711824738506186, -0.992149193532426, -1.3526254632234775, -1.3783949681074015]",10,1.0
9.481255893085342,-0.07845130975276132,"[-0.11667378747575441, -0.20585556029729982, -0.2688564144759732, -0.3134491551811181, -0.3918991584990721, -0.45030297266099034, -0.5332347954765582, -0.5941922548239524, -0.6132386344418211, -0.8381258098440709]",10,1.0
3.4965075614664802,0.12634409929618656,"[0.08501736737580373, -0.45219520315962625, -0.472093764483173, -0.5662663067153417, -0.6721503022332707, -0.7455761184726181, -0.7711328109193397, -0.9384649272063315, -0.9616582346688436, -1.1547013113867781]",10,1.0
