idx,apple,samsung,amazon,others,screensize,storage,isnight,returnsaccepted,isused,isbroken,deliveryspeed,se_apple,se_samsung,se_amazon,se_others,se_screensize,se_storage,se_isnight,se_returnsaccepted,se_isused,se_isbroken,se_deliveryspeed,r_squared
1,-1.9578934,-1.3025973,-.21400194,-.71073723,.30142993,.00063231494,.069675364,-.18003908,-.56611824,-.70223486,.10259797,.12783311,.11898845,.10174782,.11096442,.0089569958,.000045600726,.022428691,.028968437,.031418119,.048320767,.014441083,.7727446
2,-1.9571691,-1.3015207,-.21743704,-.70657057,.3016817,.0006330497,.06852483,-.18722378,-.56638777,-.69846225,.10381567,.12789007,.11904138,.10178784,.11100612,.008967259,.000045647852,.022446189,.028872928,.03154495,.048325066,.014446052,.7719155
3,-1.9571691,-1.3015207,-.21743704,-.70657057,.3016817,.0006330497,.06852483,-.18722378,-.56638777,-.69846225,.10381567,.12789007,.11904138,.10178784,.11100612,.008967259,.000045647852,.022446189,.028872928,.03154495,.048325066,.014446052,.7719155
4,-1.9571691,-1.3015207,-.21743704,-.70657057,.3016817,.0006330497,.06852483,-.18722378,-.56638777,-.69846225,.10381567,.12789007,.11904138,.10178784,.11100612,.008967259,.000045647852,.022446189,.028872928,.03154495,.048325066,.014446052,.7719155
5,-1.9571691,-1.3015207,-.21743704,-.70657057,.3016817,.0006330497,.06852483,-.18722378,-.56638777,-.69846225,.10381567,.12789007,.11904138,.10178784,.11100612,.008967259,.000045647852,.022446189,.028872928,.03154495,.048325066,.014446052,.7719155
6,-1.9571691,-1.3015207,-.21743704,-.70657057,.3016817,.0006330497,.06852483,-.18722378,-.56638777,-.69846225,.10381567,.12789007,.11904138,.10178784,.11100612,.008967259,.000045647852,.022446189,.028872928,.03154495,.048325066,.014446052,.7719155
7,-1.9571691,-1.3015207,-.21743704,-.70657057,.3016817,.0006330497,.06852483,-.18722378,-.56638777,-.69846225,.10381567,.12789007,.11904138,.10178784,.11100612,.008967259,.000045647852,.022446189,.028872928,.03154495,.048325066,.014446052,.7719155
8,-1.9571043,-1.3009423,-.21720797,-.70670116,.30189124,.00063214143,.067695878,-.1875045,-.56795508,-.69866276,.1037718,.12788914,.11905279,.10178652,.11100496,.0089595746,.000045620836,.022450117,.028869679,.031426262,.048326917,.014445614,.77229393
9,-1.9571043,-1.3009423,-.21720797,-.70670116,.30189124,.00063214143,.067695878,-.1875045,-.56795508,-.69866276,.1037718,.12788914,.11905279,.10178652,.11100496,.0089595746,.000045620836,.022450117,.028869679,.031426262,.048326917,.014445614,.77229393
10,-1.9571043,-1.3009423,-.21720797,-.70670116,.30189124,.00063214143,.067695878,-.1875045,-.56795508,-.69866276,.1037718,.12788914,.11905279,.10178652,.11100496,.0089595746,.000045620836,.022450117,.028869679,.031426262,.048326917,.014445614,.77229393
