sellerfeedbackscore,increment_residual,residual,bidcount,ispolice
6.214608098422191,2.5740394292690443,"[2.480080973831571, 2.254811832817536, 1.8496262921425413, 1.4820419895430221, 0.9885344482116528, 0.12282563819085945, -0.5065387254437322, -0.7218379509735826, -0.8506305740463744, -0.8578856997711695, -1.104857759823777]",11,1.0
5.337538079701318,2.7565050112697476,"[2.6574880792614217, 1.2100653347775128, 1.066647867302633, 0.8206116537532693, 0.6592860894826615, -0.17929258440440982, -0.4527752888840218, -0.5942229569935669, -0.9324129077256607, -1.452593747952489, -1.5816710672129917]",11,1.0
6.591673732008658,2.6719711408432603,"[2.575316193499206, 1.7242740737591324, 1.5329297711324372, 1.312534677034241, 0.847995061518205, 0.7818853358562997, 0.5474241863884488, -0.033290526315571944, -0.19515530321092156, -0.2038465422782646, -0.8662434079051328]",11,1.0
3.9318256327243257,1.7849514726850482,"[1.7110889361899022, 1.5325934893041775, 1.518642158271662, 0.7614701842589122, 0.5830900670814707, 0.5389887490622702, 0.39236858874995406, -0.014120359553093875, -0.06211226781233781, -0.15040473852777314, -1.0581650122406523]",11,1.0
8.155362120328135,3.0378647946418833,"[2.9307659196428584, 2.23068705921653, 1.7364620222558123, 1.3875758410837338, 0.7594070963455197, 0.6468677356471035, 0.512145637943658, -0.02021724130885244, -0.1264373741711014, -0.4779499558574824, -1.8434087135762485]",11,1.0
8.155362120328135,1.6401054663414405,"[1.5696096214680426, 1.5107244538162008, 1.4215357583875656, 1.2773213596028083, 1.0794760709846254, 0.7200647017320951, 0.6271206587551341, 0.43998614401947994, 0.03896871182570616, -1.0211022388276216, -1.3120163527857172]",11,1.0
6.606935861605327,2.8546358181686475,"[2.7528379016737348, 1.7311881508281148, 1.4115397858855412, 1.3669939031478262, 1.2343473422650282, 1.183033089834589, 1.1717906480556772, 0.7638213291928405, 0.3742786980670207, 0.18640464602046386, -2.062905639126626]",11,1.0
6.606935861605327,1.955478670348894,"[1.8775236725985638, 1.2977605915053863, 0.8650493724039418, 0.5318084229254871, 0.5184148707161464, 0.32397578954560563, 0.2266600626306195, 0.07391122803001904, 0.02608306278675937, -0.11975910811688567, -1.0451641772760825]",11,1.0
5.438079308923196,2.1792282250946164,"[2.0956927103652823, 1.936130604189878, 1.8327725131470078, 1.2694577620277858, 0.9033089833204718, 0.39237205700353894, 0.3670907588039726, 0.19492719390610386, 0.036793989424484086, -0.00903721945077307, -0.8036804741305547]",11,1.0
6.163314804034641,2.1078300915009445,"[2.02610122119074, 1.4647848457255683, 0.9970627292862073, 0.8845386333199434, 0.7634065910435932, 0.4660757005945278, 0.12205612276508959, -0.020237953074648707, -0.37403018298106044, -0.45080744528778344, -1.4522642156993992]",11,1.0
6.5250296578434615,2.7046948594987916,"[2.607129313756945, 1.5889063742539387, 1.1646979906987447, 1.1427854838778346, 1.0361458654656608, 1.0214494110440666, 1.0145282055662534, 0.9910751434048202, 0.9082736679559162, -0.5229737754702595, -1.6416744984878284]",11,1.0
4.110873864173311,1.4594073435423724,"[1.3929704958890063, 1.3097640430759758, 1.0693212143796904, 0.7987126545864391, 0.6601101934792049, 0.38202205880890316, 0.07719530473016895, 0.00907589698629252, -0.09647252934132139, -0.44545163133753507, -0.9022043570402046]",11,1.0
7.039660349862076,2.778250041789875,"[2.6786204526473956, 2.224590099070805, 1.6597765440791556, 0.7497646878524439, 0.6912702631529013, 0.4113730109877859, 0.040090742239225985, -0.4845971958604468, -0.6258803205374, -0.9251115544172963, -1.4631704126271137]",11,1.0
4.7535901911063645,1.4266734166760002,"[1.360955121831018, 1.1267029854769517, 0.9184534463267364, 0.7409170298487708, 0.5757518977492725, 0.2764335599641998, 0.10366867405047858, -0.2275019959077101, -0.28245700733013696, -1.0661875466364172, -1.6817261631711313]",11,1.0
9.487024917706549,2.4797954019185258,"[2.388390779486066, 1.269142475953882, 1.2256076614019358, 1.170747121346833, 0.039584242104561684, -0.22140032995394743, -0.3732383782139522, -0.43272525896125213, -0.8204807736344899, -0.8243619349877791, -1.588429294709779]",11,1.0
4.624972813284271,2.2552199196758336,"[2.169734970231889, 1.487169469284244, 1.362429018535008, 1.0615633743950734, 1.003751322312906, 0.8933320014453077, 0.2558631637924623, 0.17285470328570446, -0.0002709112124140156, -0.006469367792350855, -0.15009594620057548]",11,1.0
5.902633333401366,1.2935249835017881,"[1.2306765510627895, 1.1830890131576661, 1.1151935858294812, 0.519700365076005, 0.5091940182850065, -0.2502121077333845, -0.773144957486879, -0.7947105982688942, -0.9674807286873004, -0.9879780722005609, -2.873197904862852]",11,1.0
